"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"663","Integrin cell surface interactions","R-HSA-114514","R-HSA-216083","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"664","Integrin signaling","R-HSA-114514","R-HSA-354192","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"665","Integrin signaling","R-HSA-114514","R-HSA-354192","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"666","Interaction between L1 and Ankyrins","R-HSA-201857","R-HSA-445095","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"667","Interaction With Cumulus Cells And The Zona Pellucida","R-HSA-1297290","R-HSA-2534343","R-HSA-1474165","Reproduction","Homo sapiens (Human)"
"668","Interactions of Rev with host cellular proteins",NA,NA,NA,NA,NA
"669","Interactions of Vpr with host cellular proteins",NA,NA,NA,NA,NA
"670","Interconversion of nucleotide di- and triphosphates","R-HSA-110576","R-HSA-499943","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"671","Interferon alpha/beta signaling","R-COV-9694702","R-HSA-909733","R-HSA-168256","Immune System","Human SARS coronavirus"
"672","Interferon alpha/beta signaling","R-HSA-1015697","R-HSA-909733","R-HSA-168256","Immune System","Homo sapiens (Human)"
"673","Interferon gamma signaling","R-HSA-1031710","R-HSA-877300","R-HSA-168256","Immune System","Homo sapiens (Human)"
"674","Interferon Signaling",NA,NA,NA,NA,NA
"675","Interleukin receptor SHC signaling","R-HSA-109797","R-HSA-912526","R-HSA-168256","Immune System","Homo sapiens (Human)"
"676","Interleukin-1 family signaling",NA,NA,NA,NA,NA
"677","Interleukin-1 signaling","R-COV-9694702","R-HSA-9020702","R-HSA-168256","Immune System","Human SARS coronavirus"
"678","Interleukin-1 signaling","R-HSA-168113","R-HSA-9020702","R-HSA-168256","Immune System","Homo sapiens (Human)"
"679","Interleukin-10 signaling","R-HSA-1112525","R-HSA-6783783","R-HSA-168256","Immune System","Homo sapiens (Human)"
"680","Interleukin-12 family signaling",NA,NA,NA,NA,NA
"681","Interleukin-12 signaling","R-HSA-447102","R-HSA-9020591","R-HSA-168256","Immune System","Homo sapiens (Human)"
"682","Interleukin-15 signaling","R-HSA-449120","R-HSA-8983432","R-HSA-168256","Immune System","Homo sapiens (Human)"
"683","Interleukin-17 signaling","R-COV-9755409","R-HSA-448424","R-HSA-168256","Immune System","Human SARS coronavirus"
"684","Interleukin-17 signaling","R-HSA-447142","R-HSA-448424","R-HSA-168256","Immune System","Homo sapiens (Human)"
"685","Interleukin-2 family signaling","R-HSA-5340393","R-HSA-451927","R-HSA-168256","Immune System","Homo sapiens (Human)"
"686","Interleukin-2 signaling","R-HSA-450065","R-HSA-9020558","R-HSA-168256","Immune System","Homo sapiens (Human)"
"687","Interleukin-20 family signaling","R-HSA-1112525","R-HSA-8854691","R-HSA-168256","Immune System","Homo sapiens (Human)"
"688","Interleukin-21 signaling","R-HSA-451911","R-HSA-9020958","R-HSA-168256","Immune System","Homo sapiens (Human)"
"689","Interleukin-27 signaling","R-HSA-1067690","R-HSA-9020956","R-HSA-168256","Immune System","Homo sapiens (Human)"
"690","Interleukin-3, Interleukin-5 and GM-CSF signaling","R-HSA-198379","R-HSA-512988","R-HSA-168256","Immune System","Homo sapiens (Human)"
"691","Interleukin-35 Signalling","R-HSA-1067690","R-HSA-8984722","R-HSA-168256","Immune System","Homo sapiens (Human)"
"692","Interleukin-37 signaling","R-HSA-448691","R-HSA-9008059","R-HSA-168256","Immune System","Homo sapiens (Human)"
"693","Interleukin-4 and Interleukin-13 signaling","R-HSA-1112525","R-HSA-6785807","R-HSA-168256","Immune System","Homo sapiens (Human)"
"694","Interleukin-6 family signaling",NA,NA,NA,NA,NA
"695","Interleukin-6 signaling","R-HSA-1067638","R-HSA-1059683","R-HSA-168256","Immune System","Homo sapiens (Human)"
"696","Interleukin-7 signaling","R-HSA-1264843","R-HSA-1266695","R-HSA-168256","Immune System","Homo sapiens (Human)"
"697","Intra-Golgi and retrograde Golgi-to-ER traffic",NA,NA,NA,NA,NA
"698","Intra-Golgi traffic","R-HSA-1806286","R-HSA-6811438","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"699","Intracellular signaling by second messengers",NA,NA,NA,NA,NA
"700","Intraflagellar transport","R-HSA-5610519","R-HSA-5620924","R-HSA-1852241","Organelle biogenesis and maintenance","Homo sapiens (Human)"
"701","Intrinsic Pathway for Apoptosis",NA,NA,NA,NA,NA
"702","Intrinsic Pathway of Fibrin Clot Formation","R-HSA-114667","R-HSA-140837","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"703","Inwardly rectifying K+ channels",NA,NA,NA,NA,NA
"704","Ion channel transport","R-HSA-5252081","R-HSA-983712","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"705","Ion homeostasis","R-HSA-1168370","R-HSA-5578775","R-HSA-397014","Muscle contraction","Homo sapiens (Human)"
"706","Ion transport by P-type ATPases","R-HSA-432792","R-HSA-936837","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"707","Ionotropic activity of kainate receptors",NA,NA,NA,NA,NA
"708","IRAK1 recruits IKK complex","R-HSA-168113","R-HSA-937039","R-HSA-168256","Immune System","Homo sapiens (Human)"
"709","IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation","R-HSA-168113","R-HSA-975144","R-HSA-168256","Immune System","Homo sapiens (Human)"
"710","IRAK2 mediated activation of TAK1 complex","R-HSA-446878","R-HSA-937042","R-HSA-168256","Immune System","Homo sapiens (Human)"
"711","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","R-HSA-166163","R-HSA-975163","R-HSA-168256","Immune System","Homo sapiens (Human)"
"712","IRAK4 deficiency (TLR2/4)","R-HSA-166050","R-HSA-5603041","R-HSA-1643685","Disease","Homo sapiens (Human)"
"713","IRAK4 deficiency (TLR2/4)","R-NME-180817","R-HSA-5603041","R-HSA-1643685","Disease","Neisseria meningitidis serogroup B"
"714","IRE1alpha activates chaperones","R-HSA-381062","R-HSA-381070","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"715","IRF3-mediated induction of type I IFN","R-HIV-177535","R-HSA-3270619","R-HSA-168256","Immune System","Human Immunodeficiency Virus"
"716","IRF3-mediated induction of type I IFN","R-HSA-166272","R-HSA-3270619","R-HSA-168256","Immune System","Homo sapiens (Human)"
"717","Iron uptake and transport","R-HSA-434350","R-HSA-917937","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"718","IRS-mediated signalling","R-HSA-74693","R-HSA-112399","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"719","IRS-related events triggered by IGF1R","R-HSA-2404188","R-HSA-2428928","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"720","ISG15 antiviral mechanism","R-FLU-169143","R-HSA-1169408","R-HSA-168256","Immune System","Influenza A virus"
"721","ISG15 antiviral mechanism","R-HSA-1169382","R-HSA-1169408","R-HSA-168256","Immune System","Homo sapiens (Human)"
"722","JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","R-HSA-168408","R-HSA-450321","R-HSA-168256","Immune System","Homo sapiens (Human)"
"723","Josephin domain DUBs","R-HSA-5643747","R-HSA-5689877","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"724","KEAP1-NFE2L2 pathway","R-HSA-201711","R-HSA-9755511","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"725","Keratan sulfate biosynthesis","R-HSA-1015817","R-HSA-2022854","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"726","Keratan sulfate degradation","R-HSA-1605656","R-HSA-2022857","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"727","Keratan sulfate/keratin metabolism",NA,NA,NA,NA,NA
"728","Keratinization","R-HSA-6809611","R-HSA-6805567","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"729","Ketone body metabolism",NA,NA,NA,NA,NA
"730","Killing mechanisms",NA,NA,NA,NA,NA
"731","Kinesins","R-HSA-1015869","R-HSA-983189","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"732","KSRP (KHSRP) binds and destabilizes mRNA","R-HSA-170993","R-HSA-450604","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"733","L13a-mediated translational silencing of Ceruloplasmin expression","R-HSA-156804","R-HSA-156827","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"734","L1CAM interactions","R-HSA-215989","R-HSA-373760","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"735","Lagging Strand Synthesis",NA,NA,NA,NA,NA
"736","Laminin interactions","R-HSA-114561","R-HSA-3000157","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"737","Late endosomal microautophagy","R-HSA-184398","R-HSA-9615710","R-HSA-9612973","Autophagy","Homo sapiens (Human)"
"738","Late Phase of HIV Life Cycle",NA,NA,NA,NA,NA
"739","Late SARS-CoV-2 Infection Events",NA,NA,NA,NA,NA
"740","LDL clearance","R-HSA-171044","R-HSA-8964038","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"741","Leading Strand Synthesis",NA,NA,NA,NA,NA
"742","Leishmania infection",NA,NA,NA,NA,NA
"743","Leishmania parasite growth and survival",NA,NA,NA,NA,NA
"744","Leishmania phagocytosis",NA,NA,NA,NA,NA
"745","Lewis blood group biosynthesis",NA,NA,NA,NA,NA
"746","LGI-ADAM interactions","R-HSA-5682751","R-HSA-5682910","R-HSA-1266738","Developmental Biology","Homo sapiens (Human)"
"747","Listeria monocytogenes entry into host cells",NA,NA,NA,NA,NA
"748","Long-term potentiation","R-HSA-3928507","R-HSA-9620244","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"749","Loss of function of MECP2 in Rett syndrome",NA,NA,NA,NA,NA
"750","Loss of Nlp from mitotic centrosomes","R-HSA-380268","R-HSA-380259","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"751","Loss of proteins required for interphase microtubule organization from the centrosome","R-HSA-380268","R-HSA-380284","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"752","Lysine catabolism","R-HSA-508545","R-HSA-71064","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"753","Lysosome Vesicle Biogenesis","R-HSA-167717","R-HSA-432720","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"754","Lysosphingolipid and LPA receptors","R-HSA-419346","R-HSA-419408","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"755","M Phase",NA,NA,NA,NA,NA
"756","Macroautophagy","R-HSA-1632839","R-HSA-1632852","R-HSA-9612973","Autophagy","Homo sapiens (Human)"
"757","Major pathway of rRNA processing in the nucleolus and cytosol","R-HSA-6790878","R-HSA-6791226","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"758","MAP kinase activation",NA,NA,NA,NA,NA
"759","MAP2K and MAPK activation","R-HSA-109783","R-HSA-5674135","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"760","MAP3K8 (TPL2)-dependent MAPK1/3 activation","R-HSA-1168592","R-HSA-5684264","R-HSA-168256","Immune System","Homo sapiens (Human)"
"761","MAPK family signaling cascades",NA,NA,NA,NA,NA
"762","MAPK targets/ Nuclear events mediated by MAP kinases",NA,NA,NA,NA,NA
"763","MAPK1/MAPK3 signaling",NA,NA,NA,NA,NA
"764","MAPK3 (ERK1) activation","R-HSA-1067638","R-HSA-110056","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"765","MAPK6/MAPK4 signaling","R-HSA-182921","R-HSA-5687128","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"766","MASTL Facilitates Mitotic Progression","R-HSA-170160","R-HSA-2465910","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"767","Maturation of nucleoprotein","R-COV-9683649","R-HSA-9683610","R-HSA-1643685","Disease","Human SARS coronavirus"
"768","Maturation of nucleoprotein","R-HSA-4656922","R-HSA-9683610","R-HSA-1643685","Disease","Homo sapiens (Human)"
"769","Maturation of spike protein","R-COV-9683675","R-HSA-9683686","R-HSA-1643685","Disease","Human SARS coronavirus"
"770","Maturation of spike protein","R-HSA-264889","R-HSA-9694548","R-HSA-1643685","Disease","Homo sapiens (Human)"
"771","MECP2 regulates neuronal receptors and channels","R-HSA-111911","R-HSA-9022699","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"772","Meiosis",NA,NA,NA,NA,NA
"773","Meiotic recombination","R-HSA-1214169","R-HSA-912446","R-HSA-1474165","Reproduction","Homo sapiens (Human)"
"774","Meiotic recombination","R-HSA-1214169","R-HSA-912446","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"775","Meiotic synapsis","R-HSA-174898","R-HSA-1221632","R-HSA-1474165","Reproduction","Homo sapiens (Human)"
"776","Meiotic synapsis","R-HSA-174898","R-HSA-1221632","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"777","Membrane binding and targetting of GAG proteins","R-HSA-184369","R-HSA-174490","R-HSA-1643685","Disease","Homo sapiens (Human)"
"778","Membrane Trafficking",NA,NA,NA,NA,NA
"779","MET activates PTK2 signaling","R-HSA-114561","R-HSA-8874081","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"780","MET activates RAP1 and RAC1","R-HSA-141763","R-HSA-8875555","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"781","MET activates RAS signaling","R-HSA-109783","R-HSA-8851805","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"782","MET promotes cell motility",NA,NA,NA,NA,NA
"783","MET receptor recycling","R-HSA-141763","R-HSA-8875656","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"784","Metabolic disorders of biological oxidation enzymes",NA,NA,NA,NA,NA
"785","Metabolism",NA,NA,NA,"Metabolism",NA
"786","Metabolism of amine-derived hormones",NA,NA,NA,NA,NA
"787","Metabolism of amino acids and derivatives",NA,NA,NA,NA,NA
"788","Metabolism of Angiotensinogen to Angiotensins","R-HSA-2022357","R-HSA-2022377","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"789","Metabolism of carbohydrates",NA,NA,NA,NA,NA
"790","Metabolism of cofactors",NA,NA,NA,NA,NA
"791","Metabolism of fat-soluble vitamins",NA,NA,NA,NA,NA
"792","Metabolism of folate and pterines","R-HSA-1497822","R-HSA-196757","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"793","Metabolism of lipids",NA,NA,NA,NA,NA
"794","Metabolism of nitric oxide: NOS3 activation and regulation",NA,NA,NA,NA,NA
"795","Metabolism of non-coding RNA",NA,NA,NA,NA,NA
"796","Metabolism of nucleotides",NA,NA,NA,NA,NA
"797","Metabolism of polyamines","R-HSA-353118","R-HSA-351202","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"798","Metabolism of porphyrins",NA,NA,NA,NA,NA
"799","Metabolism of proteins",NA,NA,NA,"Metabolism of proteins",NA
"800","Metabolism of RNA",NA,NA,NA,"Metabolism of RNA",NA
"801","Metabolism of steroid hormones","R-HSA-1606803","R-HSA-196071","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"802","Metabolism of steroids",NA,NA,NA,NA,NA
"803","Metabolism of vitamins and cofactors",NA,NA,NA,NA,NA
"804","Metabolism of water-soluble vitamins and cofactors",NA,NA,NA,NA,NA
"805","Metal ion SLC transporters","R-HSA-904821","R-HSA-425410","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"806","Metalloprotease DUBs","R-HSA-5659802","R-HSA-5689901","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"807","Metallothioneins bind metals","R-HSA-5661211","R-HSA-5661231","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"808","Methylation","R-HSA-174357","R-HSA-156581","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"809","MHC class II antigen presentation","R-HSA-167717","R-HSA-2132295","R-HSA-168256","Immune System","Homo sapiens (Human)"
"810","MicroRNA (miRNA) biogenesis","R-HSA-180738","R-HSA-203927","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"811","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","R-HSA-190509","R-HSA-190840","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"812","Miscellaneous substrates",NA,NA,NA,NA,NA
"813","Miscellaneous transport and binding events","R-HSA-420433","R-HSA-5223345","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"814","Mismatch Repair",NA,NA,NA,NA,NA
"815","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)","R-HSA-5357508","R-HSA-5358606","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"816","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)","R-HSA-5357522","R-HSA-5358565","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"817","Mitochondrial biogenesis",NA,NA,NA,NA,NA
"818","Mitochondrial calcium ion transport","R-HSA-8949151","R-HSA-8949215","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"819","Mitochondrial Fatty Acid Beta-Oxidation","R-HSA-5690047","R-HSA-77289","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"820","mitochondrial fatty acid beta-oxidation of saturated fatty acids",NA,NA,NA,NA,NA
"821","Mitochondrial iron-sulfur cluster biogenesis","R-HSA-1362398","R-HSA-1362409","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"822","Mitochondrial protein import","R-HSA-1252231","R-HSA-1268020","R-HSA-9609507","Protein localization","Homo sapiens (Human)"
"823","Mitochondrial translation",NA,NA,NA,NA,NA
"824","Mitochondrial translation elongation","R-HSA-5368233","R-HSA-5389840","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"825","Mitochondrial translation initiation","R-HSA-5368233","R-HSA-5368286","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"826","Mitochondrial translation termination","R-HSA-5368233","R-HSA-5419276","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"827","Mitochondrial tRNA aminoacylation","R-HSA-379573","R-HSA-379726","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"828","Mitophagy",NA,NA,NA,NA,NA
"829","Mitotic Anaphase",NA,NA,NA,NA,NA
"830","Mitotic G1 phase and G1/S transition",NA,NA,NA,NA,NA
"831","Mitotic G2-G2/M phases",NA,NA,NA,NA,NA
"832","Mitotic Metaphase and Anaphase",NA,NA,NA,NA,NA
"833","Mitotic Prometaphase","R-HSA-190509","R-HSA-68877","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"834","Mitotic Prophase","R-HSA-170160","R-HSA-68875","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"835","Mitotic Spindle Checkpoint",NA,NA,NA,NA,NA
"836","Mitotic Telophase/Cytokinesis",NA,NA,NA,NA,NA
"837","Molecules associated with elastic fibres","R-HSA-1299497","R-HSA-2129379","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"838","mRNA 3'-end processing","R-HSA-156657","R-HSA-72187","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"839","mRNA Capping","R-HSA-109631","R-HSA-72086","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"840","mRNA decay by 3' to 5' exoribonuclease","R-HSA-429971","R-HSA-429958","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
